country,sku,name,stock_change
"eg","9befa247cd11","Chung PLC Table","22"
"ke","9befa247cd11","Chung PLC Table","40"
"ng","9befa247cd11","Chung PLC Table","77"
"ci","da8ef851e075","Turner-Payne Soft Bike","17"
"gh","da8ef851e075","Turner-Payne Soft Bike","8"
"ke","da8ef851e075","Turner-Payne Soft Bike","-6"
"ng","da8ef851e075","Turner-Payne Soft Bike","57"
"ug","da8ef851e075","Turner-Payne Soft Bike","72"
"ci","37d1fdc2cecb","Garcia, Jones and Murphy For repair Cotton Mouse","82"
"eg","37d1fdc2cecb","Garcia, Jones and Murphy For repair Cotton Mouse","15"
"ke","37d1fdc2cecb","Garcia, Jones and Murphy For repair Cotton Mouse","17"
"ng","37d1fdc2cecb","Garcia, Jones and Murphy For repair Cotton Mouse","61"
"eg","bb9eaf46d842","James and Sons Car","51"
"ma","bb9eaf46d842","James and Sons Car","2"
"ng","bb9eaf46d842","James and Sons Car","7"
"ug","bb9eaf46d842","James and Sons Car","53"
"ci","429b73c0e9e8","Green-Collins Practical Cotton Car","79"
"dz","429b73c0e9e8","Green-Collins Practical Cotton Car","75"
"eg","429b73c0e9e8","Green-Collins Practical Cotton Car","52"
"gh","429b73c0e9e8","Green-Collins Practical Cotton Car","31"
"ma","429b73c0e9e8","Green-Collins Practical Cotton Car","38"
"ng","429b73c0e9e8","Green-Collins Practical Cotton Car","11"
"ug","429b73c0e9e8","Green-Collins Practical Cotton Car","67"
"ci","e63fb9fa3b02","Haynes, Thomas and Sanchez Rustic Concrete Mouse","82"
"dz","e63fb9fa3b02","Haynes, Thomas and Sanchez Rustic Concrete Mouse","67"
"gh","e63fb9fa3b02","Haynes, Thomas and Sanchez Rustic Concrete Mouse","39"
"ma","e63fb9fa3b02","Haynes, Thomas and Sanchez Rustic Concrete Mouse","43"
"ug","e63fb9fa3b02","Haynes, Thomas and Sanchez Rustic Concrete Mouse","13"
"ke","94a17061d368","Martinez PLC Fantastic Granite Towels","-6"
"ng","94a17061d368","Martinez PLC Fantastic Granite Towels","53"
"dz","759807f50620","Green, Patton and Short Computer","24"
"eg","759807f50620","Green, Patton and Short Computer","41"
"ma","759807f50620","Green, Patton and Short Computer","1"
"ng","759807f50620","Green, Patton and Short Computer","7"
"dz","04ea8ee8dccc","White Group Shoes","57"
"eg","04ea8ee8dccc","White Group Shoes","7"
"gh","04ea8ee8dccc","White Group Shoes","60"
"ma","04ea8ee8dccc","White Group Shoes","12"
"ug","04ea8ee8dccc","White Group Shoes","4"
"ci","d05cdcc9dd5c","Wolfe Group Awesome Sausages","43"
"gh","d05cdcc9dd5c","Wolfe Group Awesome Sausages","22"
"ng","d05cdcc9dd5c","Wolfe Group Awesome Sausages","11"
"ci","6c997b7ea630","Murphy PLC Awesome Chair","-10"
"ke","6c997b7ea630","Murphy PLC Awesome Chair","68"
"dz","200a377a36a9","Watts LLC Refined Towels","61"
"eg","200a377a36a9","Watts LLC Refined Towels","58"
"gh","200a377a36a9","Watts LLC Refined Towels","5"
"ma","200a377a36a9","Watts LLC Refined Towels","30"
"ng","200a377a36a9","Watts LLC Refined Towels","35"
"ug","200a377a36a9","Watts LLC Refined Towels","-4"
"ci","d56a34dca548","Walker, Evans and Hernandez Cotton Chicken","44"
"dz","d56a34dca548","Walker, Evans and Hernandez Cotton Chicken","28"
"eg","d56a34dca548","Walker, Evans and Hernandez Cotton Chicken","14"
"ke","d56a34dca548","Walker, Evans and Hernandez Cotton Chicken","81"
"ng","d56a34dca548","Walker, Evans and Hernandez Cotton Chicken","-1"
"ug","d56a34dca548","Walker, Evans and Hernandez Cotton Chicken","37"
"eg","2f6f83b12bbb","Juarez-Costa Chair","-3"
"ma","2f6f83b12bbb","Juarez-Costa Chair","69"
"ng","2f6f83b12bbb","Juarez-Costa Chair","75"
"ke","995d68d65e0a","Thompson LLC Tasty Table","-2"
"ng","995d68d65e0a","Thompson LLC Tasty Table","27"
"ci","b2e1315c9425","Garcia-Allen Rustic Pants","25"
"gh","b2e1315c9425","Garcia-Allen Rustic Pants","10"
"ma","b2e1315c9425","Garcia-Allen Rustic Pants","45"
"ng","b2e1315c9425","Garcia-Allen Rustic Pants","15"
"ug","b2e1315c9425","Garcia-Allen Rustic Pants","87"
"ci","022f64eee779","Bishop, Williams and Sanchez Keyboard","45"
"dz","022f64eee779","Bishop, Williams and Sanchez Keyboard","79"
"eg","022f64eee779","Bishop, Williams and Sanchez Keyboard","-2"
"gh","022f64eee779","Bishop, Williams and Sanchez Keyboard","68"
"ke","022f64eee779","Bishop, Williams and Sanchez Keyboard","50"
"ma","022f64eee779","Bishop, Williams and Sanchez Keyboard","78"
"ng","022f64eee779","Bishop, Williams and Sanchez Keyboard","7"
"eg","b1a58a14cd50","Moore-Young Wooden Table","-5"
"ng","b1a58a14cd50","Moore-Young Wooden Table","1"
"ug","b1a58a14cd50","Moore-Young Wooden Table","17"
"ci","e846887e45a2","Burton-Martinez Fish","16"
"dz","e846887e45a2","Burton-Martinez Fish","61"
"ke","e846887e45a2","Burton-Martinez Fish","47"
"ma","e846887e45a2","Burton-Martinez Fish","71"
"ng","e846887e45a2","Burton-Martinez Fish","55"
"ug","e846887e45a2","Burton-Martinez Fish","34"
"ci","c2d547a89180","Kent Ltd Car","34"
"eg","c2d547a89180","Kent Ltd Car","-10"
"ma","c2d547a89180","Kent Ltd Car","58"
"ng","c2d547a89180","Kent Ltd Car","7"
"dz","53da7e472406","Hunt-Gonzalez Sleek Mouse","6"
"eg","53da7e472406","Hunt-Gonzalez Sleek Mouse","1"
"gh","53da7e472406","Hunt-Gonzalez Sleek Mouse","9"
"ma","53da7e472406","Hunt-Gonzalez Sleek Mouse","47"
"ng","53da7e472406","Hunt-Gonzalez Sleek Mouse","13"
"ci","02a8b6852b8d","White, Avila and Bishop Handcrafted Steel Mouse","58"
"gh","02a8b6852b8d","White, Avila and Bishop Handcrafted Steel Mouse","56"
"ug","02a8b6852b8d","White, Avila and Bishop Handcrafted Steel Mouse","30"
"ci","c00ced56b93a","Gilbert-Wilson Towels","32"
"eg","c00ced56b93a","Gilbert-Wilson Towels","88"
"ma","c00ced56b93a","Gilbert-Wilson Towels","-6"
"ng","c00ced56b93a","Gilbert-Wilson Towels","55"
