country,sku,name,stock_change"dz","e920c573f128","Ramirez-Molina Granite Pizza","32"
"gh","e920c573f128","Ramirez-Molina Granite Pizza","51"
"ma","e920c573f128","Ramirez-Molina Granite Pizza","58"
"ug","e920c573f128","Ramirez-Molina Granite Pizza","63"
"dz","cbf87a9be799","Foster-Harrell Table","47"
"eg","cbf87a9be799","Foster-Harrell Table","35"
"ke","cbf87a9be799","Foster-Harrell Table","5"
"ma","cbf87a9be799","Foster-Harrell Table","56"
"ng","cbf87a9be799","Foster-Harrell Table","29"
"ug","cbf87a9be799","Foster-Harrell Table","53"
"dz","fb4d42219274","Christian, Santos and Campbell Refined Frozen Car","45"
"gh","fb4d42219274","Christian, Santos and Campbell Refined Frozen Car","83"
"ke","fb4d42219274","Christian, Santos and Campbell Refined Frozen Car","47"
"ng","fb4d42219274","Christian, Santos and Campbell Refined Frozen Car","76"
"ug","fb4d42219274","Christian, Santos and Campbell Refined Frozen Car","11"
"ci","041f4e51a824","Lowe, Higgins and Cooley Ergonomic Wooden Pizza","51"
"gh","041f4e51a824","Lowe, Higgins and Cooley Ergonomic Wooden Pizza","24"
"ma","041f4e51a824","Lowe, Higgins and Cooley Ergonomic Wooden Pizza","89"
"ng","041f4e51a824","Lowe, Higgins and Cooley Ergonomic Wooden Pizza","43"
"ci","25461d1b1653","Golden-Wright Tasty Wooden Fish","48"
"dz","25461d1b1653","Golden-Wright Tasty Wooden Fish","21"
"gh","25461d1b1653","Golden-Wright Tasty Wooden Fish","14"
"eg","59648d3c5d6e","Ali, Thompson and Eaton Ball","54"
"gh","59648d3c5d6e","Ali, Thompson and Eaton Ball","19"
"ke","23f8f2dd3842","Black-Campbell Used Concrete Bike","64"
"ma","23f8f2dd3842","Black-Campbell Used Concrete Bike","72"
"ng","23f8f2dd3842","Black-Campbell Used Concrete Bike","4"
"ug","23f8f2dd3842","Black-Campbell Used Concrete Bike","64"
"ci","e099ceaacfbe","Gutierrez and Sons For repair Steel Car","65"
"eg","e099ceaacfbe","Gutierrez and Sons For repair Steel Car","27"
"ke","e099ceaacfbe","Gutierrez and Sons For repair Steel Car","-6"
"ma","e099ceaacfbe","Gutierrez and Sons For repair Steel Car","68"
"ng","e099ceaacfbe","Gutierrez and Sons For repair Steel Car","48"
"ug","e099ceaacfbe","Gutierrez and Sons For repair Steel Car","-1"
"dz","dae3fe0a58b1","Massey-Patterson Concrete Fish","65"
"gh","dae3fe0a58b1","Massey-Patterson Concrete Fish","24"
"ke","dae3fe0a58b1","Massey-Patterson Concrete Fish","34"
"ma","dae3fe0a58b1","Massey-Patterson Concrete Fish","85"
"ug","dae3fe0a58b1","Massey-Patterson Concrete Fish","24"
"ci","09d0a751d4d4","Wolf, Perez and Carlson Bike","72"
"eg","09d0a751d4d4","Wolf, Perez and Carlson Bike","-8"
"gh","09d0a751d4d4","Wolf, Perez and Carlson Bike","-3"
"ug","09d0a751d4d4","Wolf, Perez and Carlson Bike","12"
"dz","26c44c347765","Rodriguez, Lee and Bonilla Hat","16"
"gh","26c44c347765","Rodriguez, Lee and Bonilla Hat","42"
"ke","26c44c347765","Rodriguez, Lee and Bonilla Hat","11"
"ng","26c44c347765","Rodriguez, Lee and Bonilla Hat","52"
"eg","1c0a4dee8ce4","Price Group Granite Salad","41"
"gh","1c0a4dee8ce4","Price Group Granite Salad","19"
"ma","1c0a4dee8ce4","Price Group Granite Salad","28"
"ng","1c0a4dee8ce4","Price Group Granite Salad","2"
"ke","23581d13b2b7","Gardner Ltd New Rubber Towels","21"
"dz","5239d5aaa1e0","Lamb-Hays Refined Steel Salad","5"
"eg","5239d5aaa1e0","Lamb-Hays Refined Steel Salad","4"
"ke","5239d5aaa1e0","Lamb-Hays Refined Steel Salad","-4"
"ng","5239d5aaa1e0","Lamb-Hays Refined Steel Salad","59"
"ma","271450f30837","Randall-Taylor Keyboard","-3"
"ng","271450f30837","Randall-Taylor Keyboard","61"
"ci","4afad2ce7907","Jones-Taylor Used Gloves","52"
"gh","4afad2ce7907","Jones-Taylor Used Gloves","43"
"ke","4afad2ce7907","Jones-Taylor Used Gloves","19"
"ma","4afad2ce7907","Jones-Taylor Used Gloves","71"
"ng","4afad2ce7907","Jones-Taylor Used Gloves","-1"
"ug","4afad2ce7907","Jones-Taylor Used Gloves","2"
"eg","d2a144669380","Brown-Ortega Used Cheese","30"
"ke","d2a144669380","Brown-Ortega Used Cheese","-10"
"ma","d2a144669380","Brown-Ortega Used Cheese","44"
"ug","d2a144669380","Brown-Ortega Used Cheese","9"
"ci","f5ce31476fde","Graham LLC Car","48"
"dz","f5ce31476fde","Graham LLC Car","66"
"ma","f5ce31476fde","Graham LLC Car","9"
"ci","c69ef5b7ac72","Hunt-Parrish Incredible Wooden Tuna","62"
"dz","c69ef5b7ac72","Hunt-Parrish Incredible Wooden Tuna","32"
"eg","c69ef5b7ac72","Hunt-Parrish Incredible Wooden Tuna","52"
"ke","c69ef5b7ac72","Hunt-Parrish Incredible Wooden Tuna","64"
"ma","c69ef5b7ac72","Hunt-Parrish Incredible Wooden Tuna","-6"
"dz","10b3a15e7bd5","Washington Group Sleek Concrete Cheese","36"
"gh","10b3a15e7bd5","Washington Group Sleek Concrete Cheese","53"
"ke","10b3a15e7bd5","Washington Group Sleek Concrete Cheese","40"
"ma","10b3a15e7bd5","Washington Group Sleek Concrete Cheese","53"
"ug","10b3a15e7bd5","Washington Group Sleek Concrete Cheese","11"
"dz","787aa25fe4bd","Marquez-Aguilar Keyboard","2"
"eg","787aa25fe4bd","Marquez-Aguilar Keyboard","36"
"ug","787aa25fe4bd","Marquez-Aguilar Keyboard","52"
"dz","e96ea564666f","Johnson, Hampton and Hunt Licensed Wooden Bacon","65"
"gh","e96ea564666f","Johnson, Hampton and Hunt Licensed Wooden Bacon","65"
"ke","e96ea564666f","Johnson, Hampton and Hunt Licensed Wooden Bacon","44"
"ng","e96ea564666f","Johnson, Hampton and Hunt Licensed Wooden Bacon","62"
"ci","bea1d0409035","Smith PLC Cheese","34"
"ng","bea1d0409035","Smith PLC Cheese","41"
"ug","bea1d0409035","Smith PLC Cheese","-2"
"ci","1f25e9e637a7","Rogers PLC Ball","86"
"dz","1f25e9e637a7","Rogers PLC Ball","60"
"eg","1f25e9e637a7","Rogers PLC Ball","68"
"gh","1f25e9e637a7","Rogers PLC Ball","60"
"ke","1f25e9e637a7","Rogers PLC Ball","25"
"ma","1f25e9e637a7","Rogers PLC Ball","7"
"ci","4e0c9cb14c04","Barnes LLC Table","20"
"eg","4e0c9cb14c04","Barnes LLC Table","84"
"ke","4e0c9cb14c04","Barnes LLC Table","85"
"ng","4e0c9cb14c04","Barnes LLC Table","26"
"ci","67ccd029fd78","Hill Ltd New Wooden Chicken","47"
"eg","67ccd029fd78","Hill Ltd New Wooden Chicken","-5"
"ng","67ccd029fd78","Hill Ltd New Wooden Chicken","51"
"ug","67ccd029fd78","Hill Ltd New Wooden Chicken","25"
"dz","7efe69fc7721","Campbell, Berg and Ramsey Gently Used Pizza","4"
"ke","7efe69fc7721","Campbell, Berg and Ramsey Gently Used Pizza","17"
"ma","7efe69fc7721","Campbell, Berg and Ramsey Gently Used Pizza","81"
"ci","99cda36b72a8","Jacobson LLC Used Table","-10"
"gh","99cda36b72a8","Jacobson LLC Used Table","3"
"ug","99cda36b72a8","Jacobson LLC Used Table","37"
"dz","b2653ee2bb1c","Maynard Ltd Fresh Bike","20"
"ke","b2653ee2bb1c","Maynard Ltd Fresh Bike","20"
"ma","b2653ee2bb1c","Maynard Ltd Fresh Bike","20"
"ci","7c37454be795","Carter-Freeman Licensed Chips","59"
"dz","7c37454be795","Carter-Freeman Licensed Chips","65"
"gh","7c37454be795","Carter-Freeman Licensed Chips","-8"
"ma","7c37454be795","Carter-Freeman Licensed Chips","69"
"ng","7c37454be795","Carter-Freeman Licensed Chips","69"
"eg","74f654366334","Harper Group Car","15"
"gh","74f654366334","Harper Group Car","88"
"ma","74f654366334","Harper Group Car","0"
"ng","74f654366334","Harper Group Car","30"
"ug","74f654366334","Harper Group Car","69"
"ci","c73c95b6aafc","Miller-Foster Soap","6"
"ke","c73c95b6aafc","Miller-Foster Soap","10"
"ma","c73c95b6aafc","Miller-Foster Soap","83"
"ng","c73c95b6aafc","Miller-Foster Soap","69"
"ma","4cf81e4c2454","Dean-Harris Handmade Ball","18"
"ng","4cf81e4c2454","Dean-Harris Handmade Ball","34"
"dz","ffc9043b1f0a","Rogers, Fowler and Logan Refined Bike","50"
"ma","ffc9043b1f0a","Rogers, Fowler and Logan Refined Bike","1"
"ug","ffc9043b1f0a","Rogers, Fowler and Logan Refined Bike","65"
"ci","6849d3fa7bc2","Russell-Sanchez Sleek Frozen Pants","78"
"gh","6849d3fa7bc2","Russell-Sanchez Sleek Frozen Pants","32"
"ci","dca55129ff77","Craig Ltd Soft Computer","50"
"dz","dca55129ff77","Craig Ltd Soft Computer","60"
"eg","dca55129ff77","Craig Ltd Soft Computer","58"
"gh","dca55129ff77","Craig Ltd Soft Computer","7"
"ke","dca55129ff77","Craig Ltd Soft Computer","6"
"ng","dca55129ff77","Craig Ltd Soft Computer","89"
"ci","08a07729a782","Martin, Burton and Moyer Granite Ball","47"
"eg","08a07729a782","Martin, Burton and Moyer Granite Ball","4"
"gh","08a07729a782","Martin, Burton and Moyer Granite Ball","89"
"ng","08a07729a782","Martin, Burton and Moyer Granite Ball","-2"
"ug","08a07729a782","Martin, Burton and Moyer Granite Ball","4"
"ci","a90e18ef8803","Lindsey Group Sleek Metal Table","61"
"dz","a90e18ef8803","Lindsey Group Sleek Metal Table","7"
"eg","a90e18ef8803","Lindsey Group Sleek Metal Table","84"
"gh","a90e18ef8803","Lindsey Group Sleek Metal Table","85"
"ke","a90e18ef8803","Lindsey Group Sleek Metal Table","-8"
"ci","68639a31299f","Martinez, Jones and Parrish Handcrafted Soap","39"
"eg","68639a31299f","Martinez, Jones and Parrish Handcrafted Soap","85"
"ke","68639a31299f","Martinez, Jones and Parrish Handcrafted Soap","82"
"ng","68639a31299f","Martinez, Jones and Parrish Handcrafted Soap","89"
"ug","68639a31299f","Martinez, Jones and Parrish Handcrafted Soap","63"
"ci","4ee64607358d","Case Inc Bike","73"
"eg","4ee64607358d","Case Inc Bike","12"
"gh","4ee64607358d","Case Inc Bike","27"
"ke","4ee64607358d","Case Inc Bike","56"
"ma","4ee64607358d","Case Inc Bike","75"
"ug","4ee64607358d","Case Inc Bike","83"
"ci","3e2736970204","Bennett-Osborn Awesome Fresh Computer","81"
"dz","3e2736970204","Bennett-Osborn Awesome Fresh Computer","76"
"eg","3e2736970204","Bennett-Osborn Awesome Fresh Computer","73"
"gh","3e2736970204","Bennett-Osborn Awesome Fresh Computer","26"
"ke","3e2736970204","Bennett-Osborn Awesome Fresh Computer","43"
"ci","6583477a3a7d","Brown Group Chair","3"
"dz","6583477a3a7d","Brown Group Chair","24"
"eg","6583477a3a7d","Brown Group Chair","2"
"ug","6583477a3a7d","Brown Group Chair","30"
"ci","b29a012c3172","Doyle, Kelly and Romero Awesome Rubber Sausages","49"
"dz","b29a012c3172","Doyle, Kelly and Romero Awesome Rubber Sausages","47"
"ng","b29a012c3172","Doyle, Kelly and Romero Awesome Rubber Sausages","76"
"ug","b29a012c3172","Doyle, Kelly and Romero Awesome Rubber Sausages","53"
"ci","df9b361141a6","Freeman-Roberts Steel Car","-8"
"dz","df9b361141a6","Freeman-Roberts Steel Car","-3"
"ke","df9b361141a6","Freeman-Roberts Steel Car","10"
"ma","df9b361141a6","Freeman-Roberts Steel Car","38"
